,,,608,,,,,
0.01,1.528070667,1.588389246,0,0,,,,
0.02,1.528070667,1.588389246,0,0,,,,
0.03,1.528070667,1.588389246,0,0,,,,
0.04,1.528070667,1.588389246,0,0,,,,
0.05,1.528070667,1.588389246,0,0,,,,
0.06,1.528070667,1.588389246,0,0,,,,
0.07,1.528070667,1.588389246,0,0,,,,
0.08,1.528070667,1.588389246,0,0,,,,
0.09,1.528070667,1.588389246,0,0,,,,
0.1,1.528070667,1.588389246,0,0,,,,
0.11,1.528070667,1.588389246,0,0,,,,
0.12,1.528070667,1.588389246,0,0,,,,
0.13,1.528070667,1.588389246,0,0,,,,
0.14,1.528070667,1.585875972,0,0,0.3,602,86.688,0
0.15,1.528070667,1.583362697,0,0,1.65,439,63.216,
0.16,1.528070667,1.575822875,0,0,2.94,332,47.808,
0.17,1.528070667,1.565769779,0,0,4.18,254,36.576,
0.18,1.528070667,1.553203408,0,0,5.38,193,27.792,
0.19,1.528070667,1.538123763,0,0,6.57,143,20.592,
0.2,1.528070667,1.520530844,0,0,7.77,101,14.544,
0.21,1.528070667,1.500424651,0,0,8.95,65,9.36,
0.22,1.528070667,1.477805184,0,0,10.11,34,4.896,
0.23,1.528070667,1.452672443,0,0,11.28,6,0.864,
0.24,1.528070667,1.425026428,0,0,,,,
0.25,1.528070667,1.394867138,0,0,,,,
0.26,1.528070667,1.362194575,0,-25.13274123,,,,
0.27,1.528070667,1.327008737,-0.251327412,-25.13274123,,,,
0.28,1.525557393,1.289309625,-0.502654825,-25.13274123,,,,
0.29,1.520530844,1.249097239,-0.753982237,-25.13274123,,,,
0.3,1.512991022,1.206371579,-1.005309649,-25.13274123,,,,
0.31,1.502937925,1.163645919,-1.256637061,-25.13274123,,,,
0.32,1.490371555,1.115893711,-1.507964474,-25.13274123,,,,
0.33,1.47529191,1.065628228,-1.759291886,-25.13274123,,,,
0.34,1.457698991,1.015362746,-2.010619298,-50.26548246,,,,
0.35,1.437592798,0.962583989,-2.513274123,0,,,,
0.36,1.412460057,0.907291958,-2.513274123,-50.26548246,,,,
0.37,1.387327316,0.849486654,-3.015928947,0,,,,
0.38,1.357168026,0.796707897,-3.015928947,-50.26548246,,,,
0.39,1.327008737,0.736389318,-3.518583772,-25.13274123,,,,
0.4,1.291822899,0.673557465,-3.769911184,-8.88E-14,,,,
0.41,1.254123787,0.610725612,-3.769911184,-50.26548246,,,,
0.42,1.216424675,0.547893759,-4.272566009,-25.13274123,,,,
0.43,1.173699015,0.482548632,-4.523893421,-4.44E-12,,,,
0.44,1.128460081,0.417203504,-4.523893421,-50.26548246,,,,
0.45,1.083221147,0.349345103,-5.026548246,-2.75E-12,,,,
0.46,1.032955665,0.281486702,-5.026548246,-25.13274123,,,,
0.47,0.982690182,0.2136283,-5.277875658,-25.13274123,,,,
0.48,0.929911425,0.145769899,-5.52920307,-25.13274123,,,,
0.49,0.874619395,0.077911498,-5.780530483,0,,,,
0.5,0.81681409,0.010053096,-5.780530483,-25.13274123,,,,
0.51,0.759008785,-0.057805305,-6.031857895,-25.13274123,,,,
0.52,0.698690206,-0.123150432,-6.283185307,0,,,,
0.53,0.635858353,-0.191008833,-6.283185307,-25.13274123,,,,
0.54,0.5730265,-0.256353961,-6.534512719,-1.15E-12,,,,
0.55,0.507681373,-0.319185814,-6.534512719,-6.13E-12,,,,
0.56,0.442336246,-0.384530941,-6.534512719,-25.13274123,,,,
0.57,0.376991118,-0.44484952,-6.785840132,-2.66E-13,,,,
0.58,0.309132717,-0.505168099,-6.785840132,0,,,,
0.59,0.241274316,-0.565486678,-6.785840132,1.78E-13,,,,
0.6,0.173415914,-0.620778708,-6.785840132,-1.78E-13,,,,
0.61,0.105557513,-0.676070739,-6.785840132,75.39822369,,,,
0.62,0.037699112,-0.728849496,-6.031857895,-75.39822369,,,,
0.63,-0.022619467,-0.779114978,-6.785840132,25.13274123,,,,
0.64,-0.090477868,-0.826867186,-6.534512719,3.55E-13,,,,
0.65,-0.155822996,-0.872106121,-6.534512719,-6.22E-13,,,,
0.66,-0.221168123,-0.917345055,-6.534512719,6.22E-13,,,,
0.67,-0.28651325,-0.957557441,-6.534512719,25.13274123,,,,
0.68,-0.351858377,-0.995256553,-6.283185307,25.13274123,,,,
0.69,-0.41469023,-1.032955665,-6.031857895,0,,,,
0.7,-0.475008809,-1.065628228,-6.031857895,25.13274123,,,,
0.71,-0.535327388,-1.095787518,-5.780530483,25.13274123,,,,
0.72,-0.593132693,-1.123433533,-5.52920307,0,,,,
0.73,-0.648424724,-1.148566274,-5.52920307,25.13274123,,,,
0.74,-0.703716754,-1.171185741,-5.277875658,0,,,,
0.75,-0.756495511,-1.191291934,-5.277875658,50.26548246,,,,
0.76,-0.809274268,-1.208884853,-4.775220833,50.26548246,,,,
0.77,-0.857026476,-1.221451224,-4.272566009,-25.13274123,,,,
0.78,-0.899752136,-1.234017594,-4.523893421,25.13274123,,,,
0.79,-0.94499107,-1.241557417,-4.272566009,25.13274123,,,,
0.8,-0.98771673,-1.249097239,-4.021238597,25.13274123,,,,
0.81,-1.027929116,-1.251610513,-3.769911184,25.13274123,,,,
0.82,-1.065628228,-1.251610513,-3.518583772,25.13274123,,,,
0.83,-1.100814066,-1.249097239,-3.26725636,2.22E-12,,,,
0.84,-1.133486629,-1.244070691,-3.26725636,50.26548246,,,,
0.85,-1.166159193,-1.236530868,-2.764601535,25.13274123,,,,
0.86,-1.193805208,-1.226477772,-2.513274123,-4.44E-12,,,,
0.87,-1.21893795,-1.213911401,-2.513274123,25.13274123,,,,
0.88,-1.244070691,-1.198831757,-2.261946711,25.13274123,,,,
0.89,-1.266690158,-1.181238838,-2.010619298,50.26548246,,,,
0.9,-1.286796351,-1.158619371,-1.507964474,0,,,,
0.91,-1.301875996,-1.135999904,-1.507964474,50.26548246,,,,
0.92,-1.31695564,-1.110867162,-1.005309649,-1.11E-12,,,,
0.93,-1.327008737,-1.083221147,-1.005309649,50.26548246,,,,
0.94,-1.337061833,-1.053061857,-0.502654825,0,,,,
0.95,-1.342088382,-1.020389294,-0.502654825,50.26548246,,,,
0.96,-1.34711493,-0.985203456,0,0,,,,
0.97,-1.34711493,-0.947504344,0,25.13274123,,,,
0.98,-1.34711493,-0.907291958,0.251327412,25.13274123,,,,
0.99,-1.344601656,-0.867079572,0.502654825,50.26548246,,,,
1,-1.339575107,-0.824353912,1.005309649,-2.22E-12,,,,
1.01,-1.329522011,-0.779114978,1.005309649,25.13274123,,,,
1.02,-1.319468915,-0.73136277,1.256637061,25.13274123,,,,
1.03,-1.306902544,-0.681097287,1.507964474,25.13274123,,,,
